,Date,Hour,Market Demand,Ontario Demand
0,2014-01-01,1,18266,15862
1,2014-01-01,2,17705,15462
2,2014-01-01,3,17582,15182
3,2014-01-01,4,17311,14925
4,2014-01-01,5,17090,14807
5,2014-01-01,6,17029,14934
6,2014-01-01,7,17053,15246
7,2014-01-01,8,17044,15510
8,2014-01-01,9,17309,15675
9,2014-01-01,10,18117,16018
10,2014-01-01,11,18794,16479
11,2014-01-01,12,19299,16950
12,2014-01-01,13,19284,17048
13,2014-01-01,14,18776,17040
14,2014-01-01,15,18639,16957
15,2014-01-01,16,18683,17226
16,2014-01-01,17,20454,18112
17,2014-01-01,18,21673,19519
18,2014-01-01,19,21439,19406
19,2014-01-01,20,20756,18976
20,2014-01-01,21,20025,18685
21,2014-01-01,22,19772,18275
22,2014-01-01,23,19109,17480
23,2014-01-01,24,18263,16458
24,2014-01-02,1,18163,15778
25,2014-01-02,2,17909,15629
26,2014-01-02,3,18125,15524
27,2014-01-02,4,17973,15472
28,2014-01-02,5,18064,15730
29,2014-01-02,6,18944,16345
30,2014-01-02,7,20019,17659
31,2014-01-02,8,21422,18728
32,2014-01-02,9,22123,19438
33,2014-01-02,10,22641,19980
34,2014-01-02,11,23600,20440
35,2014-01-02,12,23543,20696
36,2014-01-02,13,23256,20718
37,2014-01-02,14,23277,20651
38,2014-01-02,15,23141,20576
39,2014-01-02,16,23224,20543
40,2014-01-02,17,23198,21276
41,2014-01-02,18,23851,22476
42,2014-01-02,19,23871,22320
43,2014-01-02,20,23809,21981
44,2014-01-02,21,23844,21933
45,2014-01-02,22,23288,21156
46,2014-01-02,23,22351,19946
47,2014-01-02,24,21053,18756
48,2014-01-03,1,20814,17878
49,2014-01-03,2,20339,17383
50,2014-01-03,3,20070,17163
51,2014-01-03,4,19944,17102
52,2014-01-03,5,20501,17165
53,2014-01-03,6,21012,17611
54,2014-01-03,7,21636,18647
55,2014-01-03,8,22161,19627
56,2014-01-03,9,22532,20002
57,2014-01-03,10,23491,20422
58,2014-01-03,11,23494,20428
59,2014-01-03,12,22864,20253
60,2014-01-03,13,22987,19992
61,2014-01-03,14,22814,19808
62,2014-01-03,15,22773,19590
63,2014-01-03,16,22517,19652
64,2014-01-03,17,23251,20447
65,2014-01-03,18,24387,21852
66,2014-01-03,19,24822,22113
67,2014-01-03,20,24717,21729
68,2014-01-03,21,24581,21268
69,2014-01-03,22,23757,20505
70,2014-01-03,23,22805,19249
71,2014-01-03,24,21788,17931
72,2014-01-04,1,20944,17011
73,2014-01-04,2,20777,16507
74,2014-01-04,3,20359,16043
75,2014-01-04,4,20194,15874
