,time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int,cf
0,20140101:0000,0.0,0.0,0.0,0.0,0.0,-9.6,7.52,0.0,0.0
1,20140101:0100,0.0,0.0,0.0,0.0,0.0,-9.73,6.9,0.0,0.0
2,20140101:0200,0.0,0.0,0.0,0.0,0.0,-9.7,6.41,0.0,0.0
3,20140101:0300,0.0,0.0,0.0,0.0,0.0,-9.61,6.62,0.0,0.0
4,20140101:0400,0.0,0.0,0.0,0.0,0.0,-9.53,6.62,0.0,0.0
5,20140101:0500,0.0,0.0,0.0,0.0,0.0,-9.51,6.62,0.0,0.0
6,20140101:0600,0.0,0.0,0.0,0.0,0.0,-9.79,6.55,0.0,0.0
7,20140101:0700,0.0,0.0,0.0,0.0,0.0,-9.84,6.14,0.0,0.0
8,20140101:0800,0.0,0.0,0.0,0.0,0.0,-10.1,5.86,0.0,0.0
9,20140101:0900,0.0,0.0,0.0,0.0,0.0,-10.36,5.45,0.0,0.0
10,20140101:1000,0.0,0.0,0.0,0.0,0.0,-10.8,5.03,0.0,0.0
11,20140101:1100,0.0,0.0,0.0,0.0,0.0,-11.14,4.83,0.0,0.0
12,20140101:1200,0.0,0.0,0.0,0.0,0.0,-11.39,4.69,0.0,0.0
13,20140101:1300,0.0,0.0,0.0,0.0,0.0,-11.44,4.41,0.0,0.0
14,20140101:1400,35.21,0.0,45.56,0.88,8.98,-11.2,3.93,0.0,0.03521
15,20140101:1500,408.37,249.57,124.76,3.39,15.89,-10.7,3.31,0.0,0.40837
16,20140101:1600,188.38,42.48,140.22,2.89,20.76,-10.1,2.83,0.0,0.18838
17,20140101:1700,88.66,0.0,95.68,1.85,23.11,-9.49,2.0,0.0,0.08866
18,20140101:1800,247.71,73.43,162.73,3.48,22.67,-8.96,1.72,0.0,0.24771
19,20140101:1900,430.75,239.33,155.87,4.06,19.49,-9.76,3.31,0.0,0.43075
20,20140101:2000,228.57,110.36,107.26,2.4,13.93,-10.07,3.52,0.0,0.22857
21,20140101:2100,68.73,28.33,49.59,0.95,6.49,-10.59,3.86,0.0,0.06873
22,20140101:2200,0.0,0.0,0.0,0.0,0.0,-11.31,4.21,0.0,0.0
23,20140101:2300,0.0,0.0,0.0,0.0,0.0,-12.22,4.76,0.0,0.0
24,20140102:0000,0.0,0.0,0.0,0.0,0.0,-13.06,5.17,0.0,0.0
25,20140102:0100,0.0,0.0,0.0,0.0,0.0,-13.82,5.45,0.0,0.0
